video_id,channel_title,channel_id,video_publish_date,video_title,video_view_count,video_like_count,video_dislike_count,video_comment_count
AnP2sQwRhp8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-05-04T22:19:35.000Z,CNN's April Ryan Brings The Street Fight To Sarah Sanders,9497,485.0,22.0,241.0
qPL8pvLvR-g,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-27T05:56:37.000Z,MSM Ignores Historic North/South Korea Summit,18704,876.0,39.0,531.0
CXCC-D9Byb0,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-25T22:41:03.000Z,MSM Wants To Make Criticizing The Media A Hate Crime,11012,421.0,10.0,182.0
nOY1bHIC_-E,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-24T21:29:34.000Z,Paul Watson Responds To MSM Claims That He Hates Alex Jones,22849,1027.0,29.0,196.0
gxlfg_KS4tk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-23T22:50:35.000Z,BREAKING: MSM Admits Syrian Chemical Attacks Were Staged By Rebels,20233,1120.0,43.0,377.0
PsToAj6CIyk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-23T03:15:02.000Z,MSM Calls For Banning Cheerleaders At NFL Games,14878,712.0,34.0,435.0
xXh-ZRB_MLc,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-20T22:16:01.000Z,Fake MSM Calls The Alex Jones Show!,16612,613.0,37.0,209.0
V2Lw3fRTQko,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-20T21:35:49.000Z,MSM Continues To Demonize Alex Jones Over Sandy Hook Lawsuits,9602,470.0,53.0,441.0
SUj181DkHDM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-19T19:04:04.000Z,"Despite Evidence To The Contrary, MSM Keeps Lying About Chemical Attacks In Syria",6993,340.0,22.0,108.0
7Gnp_oHbBb4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-18T00:08:06.000Z,VIDEO: Sean Hannity Responds To MSM's Defamation Campaign,30038,836.0,81.0,314.0
Vg8S7ocQ5Mk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-13T23:50:48.000Z,Infowars Threatens MSM By Bucking The System And Creating New Narratives,6798,295.0,18.0,88.0
0_BMpD11Vtk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-13T18:31:31.000Z,"MSM Is Trying To Pull New, Independent Media Into The Grave With Them",3493,189.0,10.0,40.0
xFnH5w9gEoo,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-06T17:03:05.000Z,CNN Panel Triggered That Trump Watches Alex Jones,23872,1180.0,28.0,405.0
zo6oLO-7wcA,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-05T14:54:13.000Z,"Sorry CNN, Majority Of Americans Agree With Trump",16549,881.0,24.0,133.0
I9VBmM4S0Ek,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-05T00:00:03.000Z,Why Does CNN Ignore The Truth About MLK Murder?,11776,543.0,29.0,160.0
oNsxiCX9D74,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-03T21:24:21.000Z,CNN Lies To Protect Google’s Anti-Christian Bigotry,8357,423.0,20.0,218.0
pPpKP8lIliU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-04-02T21:43:24.000Z,Stop The Prestitute Propaganda,5158,222.0,10.0,84.0
dRgDjum2tNQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-30T21:32:28.000Z,MSM Calls For Pro-Gun High Schoolers To Be Banned From The Internet,9527,451.0,18.0,174.0
s2cfeO3x-JI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-26T18:56:43.000Z,MSM Panics As Pulse Nightclub Father Confirmed As An FBI Informant,25405,1108.0,21.0,403.0
8_uYA6VFdzw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-26T03:30:01.000Z,Democrats Use Nazi Style Propaganda To Brainwash The Youth,20144,911.0,146.0,354.0
LfcoimsTx88,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-26T02:30:01.000Z,MSNBC Says Expect Your Gun Rights To Be Taken,27722,1253.0,33.0,782.0
hvmh4HI2ltw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-19T17:16:08.000Z,Justice League Anti Trump Globalist Propaganda,11030,553.0,52.0,171.0
BPWl20TjVjQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-14T17:49:54.000Z,MSM Calls For Alex Jones To Be Deplatformed From All Communication Systems,19366,1109.0,53.0,449.0
5wejJicSLW4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-13T01:28:46.000Z,Exclusive! Leftists Sue Alex Jones For Questioning Charlottesville MSM PR Campaign,27414,969.0,90.0,414.0
IXLdFKObgDM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-12T16:35:49.000Z,Trump Celebrates The Collapse Of CNN,49555,3578.0,48.0,717.0
fkqNYqVC2Jo,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-10T23:34:48.000Z,CNN Reports On Controversial Satanism Inside Clinton Campaign,140591,5620.0,88.0,1168.0
6bMGRBdzYpQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-09T18:06:36.000Z,CNN: Trump Will Go Down As A “Great President”,39301,2134.0,52.0,569.0
g0C0ZWYexzc,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-08T20:15:29.000Z,"Infowars Never Called For Shutting Down Opposition Media, While CNN Lobbies To Silence Alex Jones",4839,257.0,25.0,90.0
0keqFZaR33A,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-08T00:35:45.000Z,CNN Launches Infowars Vendetta,27385,1044.0,72.0,283.0
V9irnZy40Hk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-07T22:04:24.000Z,How MSM Smears Roger Stone,6118,264.0,29.0,94.0
KLwg3MC14rs,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-07T20:36:38.000Z,Social Media Giants Censor Infowars While Enabling ISIS Propaganda,5530,369.0,10.0,129.0
ERZVUvFjNqI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-07T03:55:02.000Z,How Long Will America Put Up With CNN's Fake News Lies?,59645,3861.0,132.0,862.0
njPdllBE-Dg,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-06T22:20:43.000Z,CNN Turns To Gangsterism To Silence Infowars,10586,599.0,35.0,136.0
OMtKPZD1n7s,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-06T22:11:27.000Z,The Real Reason CNN Hates Infowars,51265,1937.0,50.0,383.0
CBcfOy5w4Yw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-06T21:53:59.000Z,How Paul Joseph Watson Outsmarted CNN’s Big Money,30895,1945.0,34.0,196.0
qLVPxfy_fn0,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-05T21:02:14.000Z,CNN Caught Gang Stalking Infowars,32072,2969.0,62.0,373.0
yQ0lK-d0vMU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-05T19:53:43.000Z,MSM Claims Trump Wants To Be A Dictator,7184,289.0,35.0,198.0
ATBGDKvmcuE,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-05T03:30:22.000Z,What You Need To Know About CNN Calling For Infowars To Be Shut Down,18971,812.0,74.0,199.0
_6ziMueXC88,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-05T03:00:02.000Z,"Alex Jones: CNN Raped The Truth, CNN Raped Me!",12113,688.0,57.0,291.0
8oVvBOhTsM8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-04T18:10:27.000Z,CNN Now Attacking Infowars Sponsors In Free Speech Crackdown,73692,5755.0,248.0,1516.0
rvKFifQOGPk,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-03T00:10:26.000Z,"The Florida Shooting Happened! ""Crisis Actors"" are a MSM Hoax To Censor The Web",142071,2563.0,518.0,1587.0
hkET1bTSXH4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-03T00:04:47.000Z,CNN Panel Used As Witchhunt To Burn Conservatives At The Stake,13540,514.0,52.0,222.0
kDeRFj5X3fU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-02T23:40:29.000Z,Sniveling CNN Coward Caught On Tape Bullying Old Lady,18348,641.0,41.0,148.0
HEDA0yImBh4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-02T19:13:06.000Z,Facebook & MSM Are Colluding In Treasonous Mid-Term Election Meddling Scheme,4235,196.0,13.0,38.0
mu8-_0DK1HU,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-03-01T20:28:32.000Z,"Alex Jones: I’m Taking The Gloves Off, And Will Fight MSM’s Coordinated, Defamation Campaign",19786,1093.0,68.0,492.0
S-r15VsMSLc,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-28T18:14:09.000Z,MSM Carpet Bombs Local TV Stations Across The Country With Lies About Alex Jones,27622,1533.0,53.0,412.0
mXM1_76n29A,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-28T01:09:16.000Z,The Globalist MSM Is Initiating Information Apocalypse,7660,360.0,28.0,102.0
-ZWX_-ld19c,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-02-28T01:17:22.000Z,Full Show - MSM And Globalists Have Launched All Out Assault On Infowars And Alex Jones,19492,660.0,57.0,169.0
